plane,gene,assection_data_set_id
coronal,Agpat3,85
coronal,Agpat4,73718048
coronal,Agps,74819325
coronal,Agrn,73925722
coronal,Agrp,72283799
coronal,Agt,87
coronal,Agtr1a,2021
coronal,Agtr1b,74724627
coronal,Agxt2l1,75079777
coronal,Ahcyl2,73929896
coronal,Ahsa2,71358552
coronal,AI450948,71250311
coronal,AI452195,75080279
coronal,AI593442,71250312
coronal,AI606473,1468
coronal,AI836003,71250313
coronal,AI848100,71250314
coronal,AI852640,74958645
coronal,Aif1,75080249
coronal,Aifm3,74724774
coronal,Aim1,71250315
coronal,Aire,1327
coronal,Ajap1,71717560
coronal,Ak1,77414110
coronal,Ak4,74641312
coronal,Akap12,72128778
coronal,Akap13,74581373
coronal,Akap2,1448
coronal,Akap8,91
coronal,Akr1b3,70813922
coronal,Akr1c18,74425542
coronal,Akr1e1,356093
coronal,Aktip,1355
coronal,Alcam,70928271
coronal,Aldh1a1,72103809
coronal,Aldh1a2,2025
coronal,Aldh1l1,1724
coronal,Aldh2,74819240
coronal,Aldh5a1,77925007
coronal,Aldob,79588294
coronal,Aldoc,73512352
coronal,Aldoc,79556636
coronal,Alg1,70616016
coronal,Alg14,75081004
coronal,Alg2,73931383
coronal,Alg5,75774105
coronal,Alk,77371829
coronal,Alkbh6,77414882
coronal,Allc,74581421
coronal,Alox12b,72128779
coronal,Alox8,73718055
coronal,Alpk2,74988275
coronal,Amigo2,71250310
coronal,Amot,74425553
coronal,Amotl1,75038463
coronal,Ampd3,77371807
coronal,Amph,72340233
coronal,Anapc16,293463
coronal,Ank,75934916
coronal,Ank1,70560276
coronal,Ank2,71924087
coronal,Ank3,74047925
coronal,Ankfn1,74047714
coronal,Ankrd10,2027
coronal,Ankrd24,80343396
coronal,Ankrd33,2006
coronal,Ankrd34b,72128747
coronal,Ankrd34c,72472747
coronal,Ankrd43,71250306
coronal,Ankrd50,71670721
coronal,Ankrd54,1677
coronal,Ankrd6,71247671
coronal,Anln,33
coronal,Ano1,1472
coronal,Ano2,71587834
coronal,Ano6,71924067
coronal,Ano6,77887878
coronal,Anp32a,94
coronal,Anxa1,70813897
coronal,Anxa11,2029
coronal,Anxa2,70928384
coronal,Anxa3,72283800
coronal,Anxa4,70436730
coronal,Anxa5,79488933
coronal,Anxa6,77332100
coronal,Aox1,74425525
coronal,Ap1b1,356859
coronal,Ap1b1,77869778
coronal,Ap2a2,74819476
coronal,Ap2b1,96
coronal,Ap2b1,112648612
coronal,Ap2s1,71836889
coronal,Ap3s1,73512483
coronal,Apba1,74658000
coronal,Apba1,77869854
coronal,Apba2,2031
coronal,Apbb1,2033
coronal,Apbb2,72128788
coronal,Apbb2,73512196
coronal,Apbb3,77371771
coronal,Apc,74881517
coronal,Aph1a,1990
coronal,Apln,67850953
coronal,Aplnr,1661
coronal,Apoe,79490110
coronal,Apol8,74581422
coronal,App,106
coronal,App,79591705
coronal,Appl2,72080165
coronal,Aqp2,112195601
coronal,Aqp3,293692
coronal,Aqp4,108
coronal,Aqp4,79556722
coronal,Aqp9,2037
coronal,Ar,2039
coronal,Arap2,74881937
coronal,Arc,74273120
coronal,Arf1,199390
coronal,Arf1,77414125
coronal,Arf3,110
coronal,Arf3,655120
coronal,Arfgef2,79912574
coronal,Arg2,70928338
coronal,Arhgap12,71836846
coronal,Arhgap17,1413
coronal,Arhgap25,72128789
coronal,Arhgap26,75080997
coronal,Arhgap27,75774664
coronal,Arhgap31,73512366
coronal,Arhgap33,74583174
coronal,Arhgap39,73992939
coronal,Arhgap5,113
coronal,Arhgdia,75774677
coronal,Arhgdig,79556628
coronal,Arhgef10,77280329
coronal,Arhgef2,2043
coronal,Arhgef5,74881537
coronal,Arhgef6,74881547
coronal,Arid1b,982
coronal,Arid5a,75042267
coronal,Arl10,74658019
coronal,Arl15,74363341
coronal,Arl16,73817933
coronal,Arl2,74819344
coronal,Arl3,75043143
coronal,Arl4c,74988455
coronal,Arl4d,73817442
coronal,Arl4d,73817927
coronal,Arl5a,74274688
coronal,Arl6ip5,75651232
coronal,Armc2,74988750
coronal,Arnt2,71358590
coronal,Arntl,2045
coronal,Arntl,79556656
coronal,Arpc1a,77280335
coronal,Arpp21,71587781
coronal,Arpp21,79567762
coronal,Arrdc3,77280426
coronal,Arsa,75749415
coronal,Arsj,71249746
coronal,Arx,118
coronal,Asap1,73512377
coronal,Asb11,71836891
coronal,Asb13,72081558
coronal,Asb4,71358591
coronal,Asb6,1599
coronal,Asb8,276276
coronal,Asb8,77414921
coronal,Ascl1,73817423
coronal,Ascl2,1156
coronal,Ascl5-ps,74988285
coronal,Asgr1,2047
coronal,Asns,74047788
coronal,Aspa,77371803
coronal,Astn2,74047748
coronal,Asxl3,74988269
coronal,Atf3,70814344
coronal,Atg12,74881536
coronal,Atg3,74988519
coronal,Atic,72077466
coronal,Atm,1329
coronal,Atp10a,72128790
coronal,Atp10b,73635826
coronal,Atp11a,75043137
coronal,Atp11b,70744324
coronal,Atp11c,74047410
coronal,Atp11c,74750077
coronal,Atp13a5,74658053
coronal,Atp1a1,71836844
coronal,Atp1a3,74881263
coronal,Atp1a4,74881548
coronal,Atp1b2,74819255
coronal,Atp2a2,74881549
coronal,Atp2b1,77280449
coronal,Atp5a1,1579
coronal,Atp5h,77371785
coronal,Atp5j,124
coronal,Atp5o,1158
coronal,Atp5s,323589
coronal,Atp5sl,75773705
coronal,Atp6v0a1,126
coronal,Atp6v0a2,357094
coronal,Atp6v0b,293682
coronal,Atp6v0c,74881559
coronal,Atp6v1a,74641315
coronal,Atp6v1b2,129
coronal,Atp6v1c2,74881265
coronal,Atp6v1d,74047915
coronal,Atp6v1e1,655501
coronal,Atp8a1,74881560
coronal,Atp8a2,73925723
coronal,Atp9b,74272466
coronal,Atpaf1,77280419
coronal,Atpif1,75774682
coronal,Atrx,74881733
coronal,Atxn1,932
coronal,Atxn10,544899
coronal,Aurka,2643
coronal,Auts2,79591687
coronal,Avil,72340234
coronal,Avp,131
coronal,Avpr1a,74641316
coronal,Avpr1b,79488955
coronal,AW046396,72340236
coronal,Axin1,2053
coronal,Axin2,74819487
coronal,Azin1,74047917
coronal,B230120H23Rik,2049
coronal,B230312C02Rik,74363336
